model,processing,cycle,variant,dataset,class_id,class_name,roc_auc
yolo,plain,1,pretrained,test,0,Other_Amphibian,0.4716675661090124
yolo,plain,1,pretrained,test,1,Small_Mammal,0.5
yolo,plain,1,pretrained,test,2,Western_Leopard_Toad,0.9990558403021312
yolo,plain,1,pretrained,val,0,Other_Amphibian,0.4974645030425964
yolo,plain,1,pretrained,val,1,Small_Mammal,0.4998732251521298
yolo,plain,1,pretrained,val,2,Western_Leopard_Toad,0.4936612576064909
yolo,plain,1,scratch,test,0,Other_Amphibian,0.4924446842957366
yolo,plain,1,scratch,test,1,Small_Mammal,0.5
yolo,plain,1,scratch,test,2,Western_Leopard_Toad,0.9999325600215808
yolo,plain,1,scratch,val,0,Other_Amphibian,0.4814908722109533
yolo,plain,1,scratch,val,1,Small_Mammal,0.4997464503042596
yolo,plain,1,scratch,val,2,Western_Leopard_Toad,0.4468813387423935
yolo,plain,2,pretrained,test,0,Other_Amphibian,0.4805720453318942
yolo,plain,2,pretrained,test,1,Small_Mammal,0.4913688469318948
yolo,plain,2,pretrained,test,2,Western_Leopard_Toad,0.9994604801726463
yolo,plain,2,pretrained,val,0,Other_Amphibian,0.4965770791075051
yolo,plain,2,pretrained,val,1,Small_Mammal,0.4997464503042596
yolo,plain,2,pretrained,val,2,Western_Leopard_Toad,0.4996196754563894
yolo,plain,2,scratch,test,0,Other_Amphibian,0.8241815074653714
yolo,plain,2,scratch,test,1,Small_Mammal,0.4915711395819285
yolo,plain,2,scratch,test,2,Western_Leopard_Toad,0.9999325600215808
yolo,plain,2,scratch,val,0,Other_Amphibian,0.4968306288032454
yolo,plain,2,scratch,val,1,Small_Mammal,0.5
yolo,plain,2,scratch,val,2,Western_Leopard_Toad,0.5
yolo,plain,3,pretrained,test,0,Other_Amphibian,0.4461009174311927
yolo,plain,3,pretrained,test,1,Small_Mammal,0.34268374915711397
yolo,plain,3,pretrained,test,2,Western_Leopard_Toad,0.9995279201510656
yolo,plain,3,pretrained,val,0,Other_Amphibian,0.4823782961460446
yolo,plain,3,pretrained,val,1,Small_Mammal,0.29107505070993916
yolo,plain,3,pretrained,val,2,Western_Leopard_Toad,0.4964503042596349
yolo,plain,3,scratch,test,0,Other_Amphibian,0.4931192660550458
yolo,plain,3,scratch,test,1,Small_Mammal,0.4992582602832097
yolo,plain,3,scratch,test,2,Western_Leopard_Toad,0.9997302400863233
yolo,plain,3,scratch,val,0,Other_Amphibian,0.4968306288032454
yolo,plain,3,scratch,val,1,Small_Mammal,0.4994929006085192
yolo,plain,3,scratch,val,2,Western_Leopard_Toad,0.4988590263691684
yolo,plain,4,pretrained,test,0,Other_Amphibian,0.4892066918510524
yolo,plain,4,pretrained,test,1,Small_Mammal,0.4991908293998652
yolo,plain,4,pretrained,test,2,Western_Leopard_Toad,0.9991907202589696
yolo,plain,4,pretrained,val,0,Other_Amphibian,0.4967038539553752
yolo,plain,4,pretrained,val,1,Small_Mammal,0.4998732251521298
yolo,plain,4,pretrained,val,2,Western_Leopard_Toad,0.4997464503042596
yolo,plain,4,scratch,test,0,Other_Amphibian,0.4937938478143551
yolo,plain,4,scratch,test,1,Small_Mammal,0.498583951449764
yolo,plain,4,scratch,test,2,Western_Leopard_Toad,0.9997976800647423
yolo,plain,4,scratch,val,0,Other_Amphibian,0.4956896551724138
yolo,plain,4,scratch,val,1,Small_Mammal,0.4998732251521298
yolo,plain,4,scratch,val,2,Western_Leopard_Toad,0.4859279918864098
