model,processing,cycle,variant,dataset,class_id,class_name,AP,recall_0.1,specificity_0.1,precision_0.1,f1_0.1,max_recall,best_thresh,spec_at_best_thresh
rtdetr,clahe,0,pretrained,val,1,Small_Mammal,0.0,0.0,0.9508113590263692,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.0,0.0,0.7109533468559838,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,0,scratch,test,0,Other_Amphibian,0.0,0.0,0.7270642201834863,0.0,0.0,1.0,0.01,0.005531570426335672
rtdetr,clahe,0,scratch,test,1,Small_Mammal,0.0,0.0,0.9621038435603506,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,0,scratch,test,2,Western_Leopard_Toad,0.3333333333333333,1.0,0.5095764769355274,0.00027495188342040145,0.0005497526113249038,1.0,0.92,0.9987860803884543
rtdetr,clahe,0,scratch,val,0,Other_Amphibian,0.0,0.0,0.9252028397565923,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,0,scratch,val,1,Small_Mammal,0.0,0.0,0.9181034482758621,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,0,scratch,val,2,Western_Leopard_Toad,0.0,0.0,0.29006085192697767,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,1,pretrained,test,0,Other_Amphibian,0.0,0.0,0.8273070696168375,0.0,0.0,1.0,0.01,0.0013491635186184566
rtdetr,clahe,1,pretrained,test,1,Small_Mammal,0.0,0.0,0.9478084962913014,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,1,pretrained,test,2,Western_Leopard_Toad,0.5,1.0,0.8997841920690586,0.0013440860215053765,0.0026845637583892616,1.0,0.95,0.9987860803884543
rtdetr,clahe,1,pretrained,val,0,Other_Amphibian,0.0,0.0,0.8062880324543611,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,1,pretrained,val,1,Small_Mammal,0.0,0.0,0.9120182555780934,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,1,pretrained,val,2,Western_Leopard_Toad,0.0,0.0,0.9046653144016227,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,1,scratch,test,0,Other_Amphibian,0.0,0.0,0.8922018348623854,0.0,0.0,1.0,0.01,0.0
rtdetr,clahe,1,scratch,test,1,Small_Mammal,0.0,0.0,0.9909642616318274,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,1,scratch,test,2,Western_Leopard_Toad,0.5,1.0,0.9111141084434853,0.0015151515151515152,0.0030257186081694403,1.0,0.95,0.9987860803884543
rtdetr,clahe,1,scratch,val,0,Other_Amphibian,0.0,0.0,0.8945233265720081,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,1,scratch,val,1,Small_Mammal,0.0,0.0,0.9977180527383367,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,1,scratch,val,2,Western_Leopard_Toad,0.0,0.0,0.9262170385395537,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,2,pretrained,test,0,Other_Amphibian,0.0,0.0,0.904749055585537,0.0,0.0,1.0,0.01,0.00013491635186184566
rtdetr,clahe,2,pretrained,test,1,Small_Mammal,0.0,0.0,0.9993256911665542,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,2,pretrained,test,2,Western_Leopard_Toad,0.5,1.0,0.9438899379552198,0.002398081534772182,0.004784688995215311,1.0,0.95,0.9987860803884543
rtdetr,clahe,2,pretrained,val,0,Other_Amphibian,0.0,0.0,0.7446754563894523,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,2,pretrained,val,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,2,pretrained,val,2,Western_Leopard_Toad,0.0,0.0,0.9822515212981744,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,2,scratch,test,0,Other_Amphibian,0.0,0.0,0.9015110631408527,0.0,0.0,1.0,0.01,0.0
rtdetr,clahe,2,scratch,test,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,2,scratch,test,2,Western_Leopard_Toad,0.16666666666666666,1.0,0.827893175074184,0.0007830853563038371,0.001564945226917058,1.0,0.95,0.9990558403021311
rtdetr,clahe,2,scratch,val,0,Other_Amphibian,0.0,0.0,0.8341784989858012,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,2,scratch,val,1,Small_Mammal,0.0,0.0,0.9997464503042597,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,2,scratch,val,2,Western_Leopard_Toad,0.0,0.0,0.9743914807302231,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,3,pretrained,test,0,Other_Amphibian,0.0,0.0,0.8779007015650296,0.0,0.0,1.0,0.01,0.0
rtdetr,clahe,3,pretrained,test,1,Small_Mammal,0.0,0.0,0.9998651382333108,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,3,pretrained,test,2,Western_Leopard_Toad,0.5,1.0,0.9859724844888049,0.009523809523809525,0.01886792452830189,1.0,0.92,0.9987860803884543
rtdetr,clahe,3,pretrained,val,0,Other_Amphibian,0.0,0.0,0.8141480730223124,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,3,pretrained,val,1,Small_Mammal,0.0,0.0,0.9969574036511156,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,3,pretrained,val,2,Western_Leopard_Toad,0.0,0.0,0.9959432048681541,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,3,scratch,test,0,Other_Amphibian,0.0,0.0,0.978953049109552,0.0,0.0,0.6666666666666666,0.01,0.06273610361575822
rtdetr,clahe,3,scratch,test,1,Small_Mammal,0.0,0.0,0.9958192852326365,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,3,scratch,test,2,Western_Leopard_Toad,0.5,1.0,0.8929053142702994,0.0012578616352201257,0.002512562814070352,1.0,0.95,0.9987860803884543
rtdetr,clahe,3,scratch,val,0,Other_Amphibian,0.0,0.0,0.9878296146044625,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,3,scratch,val,1,Small_Mammal,0.0,0.0,0.994421906693712,0.0,0.0,0.0,0.0,0.0
