threshold,tp,fp,tn,fn,recall,specificity,precision,f1_score,model,processing,cycle,variant,dataset
0.56,12,101,7301,1,0.9230769230769231,0.9863550391786003,0.10619469026548672,0.19047619047619047,faster_rcnn,clahe,1,scratch,test
0.59,12,84,7318,1,0.9230769230769231,0.9886517157524993,0.125,0.22018348623853212,faster_rcnn,clahe,1,scratch,test
0.63,12,64,7338,1,0.9230769230769231,0.9913536881923805,0.15789473684210525,0.26966292134831454,faster_rcnn,clahe,1,scratch,test
0.66,12,44,7358,1,0.9230769230769231,0.9940556606322616,0.21428571428571427,0.34782608695652173,faster_rcnn,clahe,1,scratch,test
0.69,12,38,7364,1,0.9230769230769231,0.9948662523642259,0.24,0.38095238095238093,faster_rcnn,clahe,1,scratch,test
0.72,11,29,7373,2,0.8461538461538461,0.9960821399621724,0.275,0.41509433962264153,faster_rcnn,clahe,1,scratch,test
0.76,11,17,7385,2,0.8461538461538461,0.997703323426101,0.39285714285714285,0.5365853658536585,faster_rcnn,clahe,1,scratch,test
0.79,11,8,7394,2,0.8461538461538461,0.9989192110240476,0.5789473684210527,0.6875,faster_rcnn,clahe,1,scratch,test
0.82,11,6,7396,2,0.8461538461538461,0.9991894082680357,0.6470588235294118,0.7333333333333334,faster_rcnn,clahe,1,scratch,test
0.85,9,2,7400,4,0.6923076923076923,0.9997298027560119,0.8181818181818182,0.7500000000000001,faster_rcnn,clahe,1,scratch,test
0.89,9,1,7401,4,0.6923076923076923,0.999864901378006,0.9,0.7826086956521738,faster_rcnn,clahe,1,scratch,test
0.92,8,0,7402,5,0.6153846153846154,1.0,1.0,0.761904761904762,faster_rcnn,clahe,1,scratch,test
0.95,6,0,7402,7,0.46153846153846156,1.0,1.0,0.631578947368421,faster_rcnn,clahe,1,scratch,test
0.01,10,2457,1477,0,1.0,0.37544483985765126,0.004053506282934738,0.008074283407347596,faster_rcnn,clahe,1,scratch,val
0.04,10,1789,2145,0,1.0,0.5452465683782409,0.005558643690939411,0.01105583195135434,faster_rcnn,clahe,1,scratch,val
0.07,10,1484,2450,0,1.0,0.6227758007117438,0.006693440428380187,0.01329787234042553,faster_rcnn,clahe,1,scratch,val
