model,processing,cycle,variant,dataset,mAP,binary_auc,binary_recall_0.1,binary_precision_0.1,binary_f1_0.1,Other_Amphibian_auc,Other_Amphibian_ap,Other_Amphibian_recall_0.1,Other_Amphibian_precision_0.1,Other_Amphibian_f1_0.1,Small_Mammal_auc,Small_Mammal_ap,Small_Mammal_recall_0.1,Small_Mammal_precision_0.1,Small_Mammal_f1_0.1,Western_Leopard_Toad_auc,Western_Leopard_Toad_ap,Western_Leopard_Toad_recall_0.1,Western_Leopard_Toad_precision_0.1,Western_Leopard_Toad_f1_0.1
rtdetr,clahe,4,pretrained,test,0.25,0.9935880115561283,1.0,0.00592255125284738,0.01177536231884058,0.012704623133657146,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9998651200431615,0.5,1.0,0.0041841004184100415,0.008333333333333333
rtdetr,clahe,4,pretrained,val,0.0,0.9948144382308083,1.0,0.005750431282346176,0.011435105774728416,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rtdetr,clahe,4,scratch,test,0.16666666666666666,0.9836530667387192,1.0,0.0026909542537776857,0.0053674649050371595,0.17096150386760206,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9997302400863232,0.3333333333333333,1.0,0.0008539709649871904,0.0017064846416382253
rtdetr,clahe,4,scratch,val,0.0,0.9315200813421454,1.0,0.00558659217877095,0.011111111111111112,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rtdetr,plain,0,pretrained,test,0.08333333333333333,0.9712759545237254,1.0,0.0023883887562006247,0.004765395894428153,0.0010568447562511185,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9993256002158079,0.16666666666666666,1.0,0.00023691068467187872,0.0004737091425864519
rtdetr,plain,0,pretrained,val,0.0,0.8428571428571427,1.0,0.0030156815440289505,0.006013229104028864,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rtdetr,plain,0,scratch,test,0.25,0.9963835138112361,1.0,0.002562586240883107,0.005112072355485647,0.7332928584277747,0.0,0.6666666666666666,0.0005680204487361545,0.0011350737797956867,,0.0,0.0,0.0,0.0,0.9999325600215809,0.5,1.0,0.00030998140111593303,0.0006197706848466068
rtdetr,plain,0,scratch,val,0.0,0.9438230808337571,1.0,0.004033884630899556,0.008035355564483728,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rtdetr,plain,1,pretrained,test,0.08333333333333333,0.9550225510776713,0.9230769230769231,0.005542725173210162,0.011019283746556474,0.0030805900341788206,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9993930401942271,0.16666666666666666,1.0,0.001182033096926714,0.0023612750885478157
rtdetr,plain,1,pretrained,val,0.0,0.9367056431113371,1.0,0.005099439061703213,0.010147133434804667,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rtdetr,plain,1,scratch,test,0.25,0.9871344543054891,1.0,0.006487025948103792,0.012890431333663858,0.0266459794927145,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9999325600215808,0.5,1.0,0.0006053268765133172,0.0012099213551119178
rtdetr,plain,1,scratch,val,0.0,0.7710472801220132,0.7,0.00684931506849315,0.013565891472868217,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rtdetr,plain,2,pretrained,test,0.25,0.9929021262444662,1.0,0.004289013526888816,0.008541392904073587,0.18733135456017272,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9999325600215808,0.5,1.0,0.0005959475566150178,0.0011911852293031567
rtdetr,plain,2,pretrained,val,0.0,0.8620233858668023,1.0,0.010341261633919338,0.02047082906857728,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rtdetr,plain,2,scratch,test,0.16666666666666666,0.986105626337996,1.0,0.005206247496996396,0.010358565737051793,0.1597634466630689,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9997976800647425,0.3333333333333333,1.0,0.0008403361344537816,0.0016792611251049538
rtdetr,plain,2,scratch,val,0.0,0.8823843416370106,1.0,0.004690431519699813,0.009337068160597572,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rtdetr,plain,3,pretrained,test,0.0625,0.9914264336042234,0.9230769230769231,0.0223463687150838,0.04363636363636364,0.22978503327936678,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9991232802805503,0.125,1.0,0.004424778761061947,0.00881057268722467
rtdetr,plain,3,pretrained,val,0.0,0.9792323335027961,1.0,0.010764262648008612,0.021299254526091587,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rtdetr,plain,3,scratch,test,0.08333333333333333,0.9663604431234801,0.9230769230769231,0.006802721088435374,0.013505908835115363,0.2623448461953589,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.999325600215808,0.16666666666666666,1.0,0.0010471204188481676,0.0020920502092050207
rtdetr,plain,3,scratch,val,0.0,0.8854092526690391,0.9,0.009473684210526316,0.01875,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
