layer                                    name                type  gradient  parameters               shape        mu     sigma
  105              model.10.m.0.ffn.1.bn.bias         BatchNorm2d     False         256               [256] -9.74e-07  2.68e-05        float32
  106                  model.10.m.0.ffn.1.act            Identity     False           0                  []         -         -              -
  107                                model.11            Upsample     False           0                  []         -         -              -
  108                                model.12              Concat     False           0                  []         -         -              -
  109                model.13.cv1.conv.weight              Conv2d     False      524288   [512, 1024, 1, 1]  -0.00169    0.0271        float32
  110                  model.13.cv1.bn.weight         BatchNorm2d     False         512               [512]      0.87     0.208        float32
  110                    model.13.cv1.bn.bias         BatchNorm2d     False         512               [512]    -0.517     0.661        float32
  111                model.13.cv2.conv.weight              Conv2d     False      393216    [512, 768, 1, 1]  -0.00237    0.0275        float32
  112                  model.13.cv2.bn.weight         BatchNorm2d     False         512               [512]     0.692     0.162        float32
  112                    model.13.cv2.bn.bias         BatchNorm2d     False         512               [512]    -0.717     0.514        float32
  113            model.13.m.0.cv1.conv.weight              Conv2d     False       32768    [128, 256, 1, 1]  -0.00384    0.0453        float32
  114              model.13.m.0.cv1.bn.weight         BatchNorm2d     False         128               [128]     0.627     0.172        float32
  114                model.13.m.0.cv1.bn.bias         BatchNorm2d     False         128               [128]    -0.371     0.714        float32
  115            model.13.m.0.cv2.conv.weight              Conv2d     False       32768    [128, 256, 1, 1]  -0.00387    0.0356        float32
  116              model.13.m.0.cv2.bn.weight         BatchNorm2d     False         128               [128]      1.24     0.128        float32
  116                model.13.m.0.cv2.bn.bias         BatchNorm2d     False         128               [128]    -0.536     0.258        float32
  117            model.13.m.0.cv3.conv.weight              Conv2d     False       65536    [256, 256, 1, 1]  -0.00424    0.0374        float32
  118              model.13.m.0.cv3.bn.weight         BatchNorm2d     False         256               [256]     0.928     0.154        float32
  118                model.13.m.0.cv3.bn.bias         BatchNorm2d     False         256               [256]     -0.66      0.49        float32
  119        model.13.m.0.m.0.cv1.conv.weight              Conv2d     False      147456    [128, 128, 3, 3]  -0.00175    0.0233        float32
  120          model.13.m.0.m.0.cv1.bn.weight         BatchNorm2d     False         128               [128]     0.999     0.165        float32
  120            model.13.m.0.m.0.cv1.bn.bias         BatchNorm2d     False         128               [128]    -0.651     0.557        float32
  121        model.13.m.0.m.0.cv2.conv.weight              Conv2d     False      147456    [128, 128, 3, 3]  -0.00201    0.0229        float32
  122          model.13.m.0.m.0.cv2.bn.weight         BatchNorm2d     False         128               [128]     0.901     0.185        float32
  122            model.13.m.0.m.0.cv2.bn.bias         BatchNorm2d     False         128               [128]    -0.206     0.497        float32
  123        model.13.m.0.m.1.cv1.conv.weight              Conv2d     False      147456    [128, 128, 3, 3]  -0.00195    0.0229        float32
  124          model.13.m.0.m.1.cv1.bn.weight         BatchNorm2d     False         128               [128]     0.899     0.158        float32
  124            model.13.m.0.m.1.cv1.bn.bias         BatchNorm2d     False         128               [128]    -0.682       0.5        float32
  125        model.13.m.0.m.1.cv2.conv.weight              Conv2d     False      147456    [128, 128, 3, 3]  -0.00124    0.0221        float32
  126          model.13.m.0.m.1.cv2.bn.weight         BatchNorm2d     False         128               [128]      1.23     0.208        float32
  126            model.13.m.0.m.1.cv2.bn.bias         BatchNorm2d     False         128               [128]     0.439     0.473        float32
  127                                model.14            Upsample     False           0                  []         -         -              -
  128                                model.15              Concat     False           0                  []         -         -              -
  129                model.16.cv1.conv.weight              Conv2d     False      262144   [256, 1024, 1, 1]  -0.00125    0.0285        float32
  130                  model.16.cv1.bn.weight         BatchNorm2d     False         256               [256]     0.635     0.196        float32
  130                    model.16.cv1.bn.bias         BatchNorm2d     False         256               [256]   -0.0591     0.763        float32
  131                model.16.cv2.conv.weight              Conv2d     False       98304    [256, 384, 1, 1]   -0.0019    0.0344        float32
  132                  model.16.cv2.bn.weight         BatchNorm2d     False         256               [256]     0.743     0.441        float32
  132                    model.16.cv2.bn.bias         BatchNorm2d     False         256               [256]    -0.388     0.757        float32
  133            model.16.m.0.cv1.conv.weight              Conv2d     False        8192     [64, 128, 1, 1]  -0.00496    0.0735        float32
  134              model.16.m.0.cv1.bn.weight         BatchNorm2d     False          64                [64]     0.393     0.112        float32
  134                model.16.m.0.cv1.bn.bias         BatchNorm2d     False          64                [64]    -0.074      0.49        float32
  135            model.16.m.0.cv2.conv.weight              Conv2d     False        8192     [64, 128, 1, 1]  -0.00218    0.0471        float32
  136              model.16.m.0.cv2.bn.weight         BatchNorm2d     False          64                [64]     0.962     0.256        float32
  136                model.16.m.0.cv2.bn.bias         BatchNorm2d     False          64                [64]     -0.18     0.388        float32
  137            model.16.m.0.cv3.conv.weight              Conv2d     False       16384    [128, 128, 1, 1]  -0.00463    0.0536        float32
  138              model.16.m.0.cv3.bn.weight         BatchNorm2d     False         128               [128]      1.07     0.562        float32
  138                model.16.m.0.cv3.bn.bias         BatchNorm2d     False         128               [128]    -0.252     0.734        float32
  139        model.16.m.0.m.0.cv1.conv.weight              Conv2d     False       36864      [64, 64, 3, 3]  -0.00364    0.0401        float32
