model,processing,cycle,variant,dataset,class_id,class_name,threshold,recall,specificity,precision,f1_score,tp,fp,tn,fn
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.2,0.1971631205673759,0.7673469387755102,0.4483870967741935,0.2738916256157635,139,171,564,566
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.24,0.16879432624113475,0.85578231292517,0.5288888888888889,0.2559139784946236,119,106,629,586
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.27,0.15319148936170213,0.9047619047619048,0.6067415730337079,0.2446206115515289,108,70,665,597
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.3,0.13900709219858157,0.9455782312925171,0.7101449275362319,0.23250296559905104,98,40,695,607
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.33,0.12907801418439716,0.964625850340136,0.7777777777777778,0.2214111922141119,91,26,709,614
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.37,0.1148936170212766,0.9714285714285714,0.7941176470588235,0.20074349442379183,81,21,714,624
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.4,0.10070921985815603,0.9755102040816327,0.797752808988764,0.17884130982367757,71,18,717,634
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.43,0.09219858156028368,0.9782312925170068,0.8024691358024691,0.1653944020356234,65,16,719,640
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.46,0.08368794326241134,0.9809523809523809,0.8082191780821918,0.15167095115681234,59,14,721,646
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.5,0.07659574468085106,0.9877551020408163,0.8571428571428571,0.14062499999999997,54,9,726,651
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.53,0.06666666666666667,0.9891156462585035,0.8545454545454545,0.1236842105263158,47,8,727,658
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.56,0.059574468085106386,0.9904761904761905,0.8571428571428571,0.11140583554376658,42,7,728,663
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.59,0.04680851063829787,0.9904761904761905,0.825,0.08859060402684564,33,7,728,672
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.63,0.03404255319148936,0.9931972789115646,0.8275862068965517,0.0653950953678474,24,5,730,681
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.66,0.031205673758865248,0.9931972789115646,0.8148148148148148,0.06010928961748633,22,5,730,683
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.69,0.029787234042553193,0.9945578231292517,0.84,0.057534246575342465,21,4,731,684
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.72,0.028368794326241134,0.9945578231292517,0.8333333333333334,0.05486968449931412,20,4,731,685
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.76,0.02269503546099291,0.9972789115646259,0.8888888888888888,0.04426002766251729,16,2,733,689
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.79,0.02269503546099291,0.9972789115646259,0.8888888888888888,0.04426002766251729,16,2,733,689
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.82,0.019858156028368795,0.9972789115646259,0.875,0.03883495145631068,14,2,733,691
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.85,0.011347517730496455,0.998639455782313,0.8888888888888888,0.022408963585434177,8,1,734,697
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.89,0.005673758865248227,0.998639455782313,0.8,0.011267605633802818,4,1,734,701
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.92,0.00425531914893617,0.998639455782313,0.75,0.00846262341325811,3,1,734,702
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.95,0.0,1.0,0.0,0.0,0,0,735,705
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.01,0.0,0.7118055555555556,0.0,0.0,0,415,1025,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.04,0.0,0.9916666666666667,0.0,0.0,0,12,1428,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.07,0.0,0.9993055555555556,0.0,0.0,0,1,1439,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.11,0.0,0.9993055555555556,0.0,0.0,0,1,1439,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.14,0.0,0.9993055555555556,0.0,0.0,0,1,1439,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.17,0.0,0.9993055555555556,0.0,0.0,0,1,1439,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.2,0.0,0.9993055555555556,0.0,0.0,0,1,1439,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.24,0.0,0.9993055555555556,0.0,0.0,0,1,1439,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.27,0.0,0.9993055555555556,0.0,0.0,0,1,1439,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.3,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.33,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.37,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.4,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.43,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.46,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.5,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.53,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.56,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.59,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.63,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.66,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.69,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.72,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.76,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.79,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.82,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.85,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.89,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.92,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.95,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.01,0.7241379310344828,0.35021707670043417,0.04468085106382979,0.0841683366733467,42,898,484,16
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.04,0.5,0.5926193921852387,0.048986486486486486,0.08923076923076922,29,563,819,29
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.07,0.41379310344827586,0.6960926193921853,0.05405405405405406,0.09561752988047809,24,420,962,34
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.11,0.39655172413793105,0.7749638205499276,0.0688622754491018,0.11734693877551021,23,311,1071,35
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.14,0.3448275862068966,0.8154848046309696,0.07272727272727272,0.1201201201201201,20,255,1127,38
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.17,0.3448275862068966,0.8422575976845152,0.08403361344537816,0.13513513513513514,20,218,1164,38
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.2,0.2413793103448276,0.8661360347322721,0.07035175879396985,0.10894941634241245,14,185,1197,44
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.24,0.2413793103448276,0.894356005788712,0.0875,0.12844036697247707,14,146,1236,44
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.27,0.20689655172413793,0.9117221418234442,0.08955223880597014,0.125,12,122,1260,46
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.3,0.20689655172413793,0.9254703328509407,0.10434782608695652,0.13872832369942198,12,103,1279,46
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.33,0.1896551724137931,0.9384949348769899,0.11458333333333333,0.14285714285714288,11,85,1297,47
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.37,0.1724137931034483,0.9536903039073806,0.13513513513513514,0.15151515151515152,10,64,1318,48
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.4,0.1724137931034483,0.9623733719247467,0.16129032258064516,0.16666666666666669,10,52,1330,48
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.43,0.1724137931034483,0.967438494934877,0.18181818181818182,0.1769911504424779,10,45,1337,48
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.46,0.13793103448275862,0.9717800289435601,0.1702127659574468,0.1523809523809524,8,39,1343,50
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.5,0.13793103448275862,0.9768451519536903,0.2,0.16326530612244897,8,32,1350,50
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.53,0.08620689655172414,0.9797395079594791,0.15151515151515152,0.10989010989010989,5,28,1354,53
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.56,0.06896551724137931,0.9826338639652678,0.14285714285714285,0.09302325581395349,4,24,1358,54
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.59,0.06896551724137931,0.984081041968162,0.15384615384615385,0.09523809523809525,4,22,1360,54
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.63,0.06896551724137931,0.9848046309696092,0.16,0.0963855421686747,4,21,1361,54
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.66,0.06896551724137931,0.9876989869753979,0.19047619047619047,0.10126582278481011,4,17,1365,54
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.69,0.06896551724137931,0.9891461649782923,0.21052631578947367,0.10389610389610389,4,15,1367,54
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.72,0.06896551724137931,0.9891461649782923,0.21052631578947367,0.10389610389610389,4,15,1367,54
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.76,0.05172413793103448,0.9898697539797395,0.17647058823529413,0.08,3,14,1368,55
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.79,0.05172413793103448,0.9898697539797395,0.17647058823529413,0.08,3,14,1368,55
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.82,0.05172413793103448,0.9913169319826338,0.2,0.0821917808219178,3,12,1370,55
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.85,0.034482758620689655,0.9913169319826338,0.14285714285714285,0.05555555555555555,2,12,1370,56
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.89,0.017241379310344827,0.992040520984081,0.08333333333333333,0.028571428571428574,1,11,1371,57
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.92,0.0,0.9985528219971056,0.0,0.0,0,2,1380,58
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.95,0.0,1.0,0.0,0.0,0,0,1382,58
faster_rcnn,clahe,1,pretrained,val,0,Other_Amphibian,0.01,0.6368794326241135,0.17959183673469387,0.4268060836501901,0.5110984632896983,449,603,132,256
faster_rcnn,clahe,1,pretrained,val,0,Other_Amphibian,0.04,0.38581560283687943,0.5469387755102041,0.44958677685950416,0.415267175572519,272,333,402,433
faster_rcnn,clahe,1,pretrained,val,0,Other_Amphibian,0.07,0.2624113475177305,0.6666666666666666,0.43023255813953487,0.3259911894273128,185,245,490,520
faster_rcnn,clahe,1,pretrained,val,0,Other_Amphibian,0.11,0.17446808510638298,0.7659863945578231,0.41694915254237286,0.24599999999999997,123,172,563,582
faster_rcnn,clahe,1,pretrained,val,0,Other_Amphibian,0.14,0.13900709219858157,0.8448979591836735,0.46226415094339623,0.2137404580152672,98,114,621,607
faster_rcnn,clahe,1,pretrained,val,0,Other_Amphibian,0.17,0.11063829787234042,0.9074829931972789,0.5342465753424658,0.1833137485311398,78,68,667,627
faster_rcnn,clahe,1,pretrained,val,0,Other_Amphibian,0.2,0.09361702127659574,0.9387755102040817,0.5945945945945946,0.16176470588235292,66,45,690,639
faster_rcnn,clahe,1,pretrained,val,0,Other_Amphibian,0.24,0.062411347517730496,0.9782312925170068,0.7333333333333333,0.1150326797385621,44,16,719,661
faster_rcnn,clahe,1,pretrained,val,0,Other_Amphibian,0.27,0.05106382978723404,0.9836734693877551,0.75,0.09561752988047809,36,12,723,669
