model,processing,cycle,variant,dataset,mAP,mAR,binary_auc,binary_recall_0.1,binary_precision_0.1,binary_f1_0.1,Other_Amphibian_auc,Other_Amphibian_ap,Other_Amphibian_ar,Other_Amphibian_f1_default,Other_Amphibian_recall_default,Other_Amphibian_precision_default,Other_Amphibian_f1_optimal,Other_Amphibian_recall_optimal,Other_Amphibian_precision_optimal,Other_Amphibian_specificity_optimal,Other_Amphibian_optimal_threshold,Small_Mammal_auc,Small_Mammal_ap,Small_Mammal_ar,Small_Mammal_f1_default,Small_Mammal_recall_default,Small_Mammal_precision_default,Small_Mammal_f1_optimal,Small_Mammal_recall_optimal,Small_Mammal_precision_optimal,Small_Mammal_specificity_optimal,Small_Mammal_optimal_threshold,Western_Leopard_Toad_auc,Western_Leopard_Toad_ap,Western_Leopard_Toad_ar,Western_Leopard_Toad_f1_default,Western_Leopard_Toad_recall_default,Western_Leopard_Toad_precision_default,Western_Leopard_Toad_f1_optimal,Western_Leopard_Toad_recall_optimal,Western_Leopard_Toad_precision_optimal,Western_Leopard_Toad_specificity_optimal,Western_Leopard_Toad_optimal_threshold
faster_rcnn,plain,1,scratch,val,0.4954992761383312,0.7445652173913043,,,,,,0.19354010831784274,0.45108695652173914,,,,0.31514084507042256,0.24320652173913043,0.4475,0.3870967741935484,0.0748,,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.338,,0.292957720097151,0.782608695652174,,,,0.3575418994413408,0.463768115942029,0.2909090909090909,0.8951149425287356,0.0398
faster_rcnn,plain,2,pretrained,val,0.06976484508217123,0.7056159420289855,,,,,,0.037966612474643696,0.2907608695652174,,,,0.11312849162011174,0.11005434782608696,0.11637931034482758,0.25806451612903225,0.0747,,0.022727272727272728,1.0,,,,0.044444444444444446,1.0,0.022727272727272728,0.943717277486911,0.0315,,0.14860065004459727,0.8260869565217391,,,,0.2543352601156069,0.3188405797101449,0.21153846153846154,0.8908045977011494,0.299
faster_rcnn,plain,2,scratch,val,0.3967657531630184,0.6710446859903382,,,,,,0.11888771479126663,0.389945652173913,,,,0.21912350597609562,0.14945652173913043,0.41044776119402987,0.6935483870967742,0.1698,,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.079,,0.07140954469778847,0.6231884057971014,,,,0.20253164556962022,0.2318840579710145,0.1797752808988764,0.9195402298850575,0.0566
faster_rcnn,plain,3,pretrained,val,0.14242647866936084,0.7121074879227054,,,,,,0.05747543088665877,0.28125,,,,0.13448275862068965,0.10597826086956522,0.18396226415094338,0.3548387096774194,0.0285,,0.01818181818181818,1.0,,,,0.03571428571428572,1.0,0.01818181818181818,0.9293193717277487,0.03,,0.3516221869396055,0.855072463768116,,,,0.4195804195804196,0.43478260869565216,0.40540540540540543,0.9425287356321839,0.213
faster_rcnn,plain,3,scratch,val,0.45812312846668135,0.6867451690821257,,,,,,0.21177404705413277,0.46603260869565216,,,,0.32871012482662965,0.3220108695652174,0.3356940509915014,0.45161290322580644,0.025,,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.1779,,0.16259533834591142,0.5942028985507246,,,,0.2556390977443609,0.2463768115942029,0.265625,0.9410919540229885,0.0391
faster_rcnn,plain,4,pretrained,val,0.437881186038331,0.5664251207729469,,,,,,0.024022933051493552,0.16304347826086957,,,,0.1076923076923077,0.11413043478260869,0.10194174757281553,0.27419354838709675,0.0064,,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.0303,,0.28962062506349945,0.5362318840579711,,,,0.40366972477064217,0.3188405797101449,0.55,0.9755747126436781,0.0944
faster_rcnn,plain,4,scratch,val,0.42961916698287456,0.5703502415458938,,,,,,0.15555219833574474,0.2907608695652174,,,,0.29577464788732394,0.22826086956521738,0.42,0.5483870967741935,0.0065,,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.1882,,0.13330530261287882,0.42028985507246375,,,,0.30967741935483867,0.34782608695652173,0.27906976744186046,0.9224137931034483,0.0206
faster_rcnn,plain,0,pretrained,test_full_seq,,,0.6311822970791056,0.966142684401451,0.006276512175962294,0.012472000437066349,0.6781085541250185,,0.0,,,,,,,,,0.7296673204433013,,0.0,,,,,,,,,0.8117318772188715,,0.0,,,,,,,,
faster_rcnn,plain,0,pretrained,test,0.19465646495517455,0.6385922142249051,,,,,,0.2304596022962375,0.614406779661017,,,,0.34303215926493114,0.3163841807909605,0.3745819397993311,0.640625,0.1743,,0.0002969121140142518,0.5,,,,0.0011862396204033216,0.5,0.0005938242280285036,0.15757575757575756,0.0017,,0.35321288045527194,0.8013698630136986,,,,0.41811846689895465,0.410958904109589,0.425531914893617,0.922740524781341,0.8176
faster_rcnn,plain,0,pretrained,val_full_seq,,,0.5849864953640076,0.9281045751633987,0.0061263935388119976,0.012172437144791997,0.5848658217584911,,0.0,,,,,,,,,0.9742938289732987,,0.0,,,,,,,,,0.5944165930384807,,0.0,,,,,,,,
