epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,37147.4,0.46571,0.35236,0.00684,0.92976,0.89802,0.94212,0.8438,0.28479,0.21156,0.0062,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,37657.2,0.46449,0.35272,0.00683,0.93747,0.89241,0.94315,0.84494,0.28424,0.20813,0.00619,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,38169.8,0.4639,0.35085,0.00684,0.93058,0.89612,0.94306,0.84477,0.283,0.21026,0.00616,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,38680.4,0.45959,0.35042,0.00678,0.93594,0.89268,0.9438,0.84602,0.28233,0.20743,0.00615,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,39191.3,0.45268,0.35192,0.00668,0.93467,0.89186,0.94194,0.84588,0.28109,0.20854,0.00612,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,39703.7,0.45351,0.33938,0.00667,0.93482,0.89485,0.94228,0.84691,0.28032,0.20496,0.00609,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,40212.5,0.45074,0.33268,0.00662,0.93708,0.89245,0.94334,0.8478,0.27954,0.20676,0.00607,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,40724.5,0.44388,0.33247,0.00651,0.93462,0.89424,0.94338,0.84858,0.27907,0.20572,0.00605,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,41236.2,0.44195,0.32792,0.00654,0.93478,0.89335,0.94356,0.84848,0.27822,0.20627,0.00603,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,41746.8,0.44133,0.32601,0.00652,0.93712,0.88944,0.94363,0.84907,0.27757,0.20676,0.00601,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,42259.3,0.43193,0.31743,0.00633,0.93939,0.89461,0.94368,0.84947,0.27696,0.20599,0.00599,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,42771.6,0.43134,0.31907,0.00633,0.94013,0.88884,0.94402,0.85,0.27683,0.20531,0.006,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,43282.9,0.4268,0.31167,0.00625,0.93378,0.89658,0.94476,0.85052,0.2764,0.20512,0.00598,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,43795.2,0.42264,0.31097,0.00625,0.93482,0.89127,0.94434,0.85167,0.27528,0.20532,0.00596,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,44307.2,0.4188,0.31987,0.00618,0.9413,0.8865,0.94463,0.85167,0.27385,0.20709,0.00592,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,44818.8,0.41763,0.30912,0.00616,0.9363,0.88812,0.94419,0.85188,0.273,0.20725,0.00591,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,45329.8,0.41043,0.29785,0.00604,0.94316,0.88577,0.9447,0.85285,0.27314,0.20632,0.00592,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,45841.7,0.41137,0.30091,0.00606,0.94586,0.88479,0.94475,0.85421,0.27319,0.20523,0.00594,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,46352.7,0.4073,0.29734,0.006,0.94105,0.89004,0.94518,0.85482,0.27329,0.20465,0.00594,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,46863.4,0.23998,0.11813,0.00452,0.95096,0.87857,0.94463,0.85472,0.27335,0.20323,0.00595,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,47372,0.23452,0.10862,0.00446,0.94473,0.88658,0.94555,0.85578,0.27296,0.20469,0.00595,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,47879.6,0.22396,0.09935,0.00416,0.94344,0.89149,0.94501,0.85562,0.27272,0.2043,0.00595,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,48387.5,0.22358,0.09943,0.00416,0.95597,0.87631,0.94596,0.85672,0.27208,0.20546,0.00592,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,48895.2,0.21888,0.09334,0.00409,0.96044,0.87666,0.94708,0.85811,0.27187,0.20528,0.00593,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,49402.2,0.21414,0.09152,0.00398,0.94047,0.89506,0.94823,0.85842,0.27203,0.20716,0.00593,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,49910.6,0.20891,0.08935,0.00387,0.94441,0.89516,0.94853,0.85906,0.27227,0.20627,0.00594,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,50418,0.20495,0.08479,0.00375,0.93793,0.9,0.94873,0.85957,0.27269,0.20631,0.00596,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,50927.8,0.20264,0.08428,0.00371,0.93543,0.8979,0.94842,0.8591,0.2734,0.206,0.00598,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,51434.4,0.19939,0.08095,0.00367,0.93694,0.89734,0.94812,0.85957,0.27342,0.20613,0.00598,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
