model,processing,cycle,variant,dataset,mAP,mAP50-95,mAR,precision,recall,Other_Amphibian_ap,Other_Amphibian_precision_optimal,Other_Amphibian_recall_optimal,Other_Amphibian_optimal_threshold,Other_Amphibian_specificity_optimal,Small_Mammal_ap,Small_Mammal_precision_optimal,Small_Mammal_recall_optimal,Small_Mammal_optimal_threshold,Small_Mammal_specificity_optimal,Western_Leopard_Toad_ap,Western_Leopard_Toad_precision_optimal,Western_Leopard_Toad_recall_optimal,Western_Leopard_Toad_optimal_threshold,Western_Leopard_Toad_specificity_optimal
rtdetr,plain,0,scratch,val,0.8469455548072272,0.5912752150052394,0.7804231826340331,0.5829118444813631,0.7804231826340331,0.7440991160303535,0.8957952468007313,0.6490066225165563,0.2369,0.95,0.995,0.5,1.0,0.4728,0.95,0.8017375483913284,0.6494845360824743,0.8289473684210527,0.7995,0.95
rtdetr,plain,1,pretrained,test,0.6183287068665538,0.510975877582678,0.523084189405412,0.898577061984664,0.523084189405412,0.8087634018920291,0.7553041018387553,0.7295081967213115,0.3195,0.95,0.1325,0.0,0.0,0.8301000000000001,0.95,0.9137227187076322,0.8108108108108109,0.8823529411764706,0.64,0.95
rtdetr,plain,1,pretrained,val,0.8680491208658467,0.5850168363933437,0.7986764791347504,0.845131948345827,0.7986764791347504,0.7700941815706301,0.8186195826645265,0.6754966887417219,0.3195,0.95,0.995,1.0,1.0,0.8301000000000001,0.95,0.8390531810269101,0.6836734693877551,0.881578947368421,0.64,0.95
rtdetr,plain,1,scratch,test,0.6747281962702879,0.5628177687514538,0.6676857200795588,0.716700987091564,0.6676857200795588,0.6813091134168653,0.7136752136752137,0.6844262295081968,0.1349,0.95,0.4974154589371981,0.0,0.0,0.7701,0.95,0.8454600164568004,0.803680981595092,0.7705882352941177,0.7145,0.95
rtdetr,plain,1,scratch,val,0.719534584701304,0.5548675246616616,0.6497411306149407,0.791969341784958,0.6497411306149407,0.4801013690071936,0.7622222222222222,0.4543046357615894,0.1349,0.95,0.995,1.0,1.0,0.7701,0.95,0.6835023850967181,0.44776119402985076,0.7894736842105263,0.7145,0.95
rtdetr,plain,2,pretrained,test,0.5257338601248008,0.4390559539661438,0.4560534530351108,0.8431260421989109,0.4560534530351108,0.6782470326893565,0.5101387406616862,0.6530054644808743,0.0933,0.95,0.0006996439044061,0.0,0.0,0.3731,0.95,0.8982549037806398,0.7,0.9058823529411765,0.7774,0.95
rtdetr,plain,2,pretrained,val,0.7501107436950752,0.5075693701807825,0.7439557666927747,0.6822332365692249,0.7439557666927747,0.4814496691778213,0.5087719298245614,0.49933774834437084,0.0933,0.95,0.995,1.0,1.0,0.3731,0.95,0.7738825619074045,0.5980392156862745,0.8026315789473685,0.7774,0.95
rtdetr,plain,2,scratch,test,0.63570841580925,0.4763480406795279,0.7350372778164744,0.6311288885457739,0.7350372778164744,0.5957935594444206,0.7864077669902912,0.5532786885245902,0.3518,0.95,0.4975,0.5,1.0,0.7941,0.95,0.8138316879833294,0.5568627450980392,0.8352941176470589,0.8038000000000001,0.95
rtdetr,plain,2,scratch,val,0.7882180823882488,0.6484744296225374,0.6412267280718162,0.7998975870030657,0.6412267280718162,0.6555141920098395,0.8011695906432749,0.5443708609271524,0.3518,0.95,0.995,1.0,1.0,0.7941,0.95,0.7141400551549067,0.5841584158415841,0.7763157894736842,0.8038000000000001,0.95
rtdetr,plain,3,pretrained,test,0.6971028735420507,0.4987341335061576,0.5423115089116902,0.9074105298568456,0.5423115089116902,0.6971401662331926,0.7471074380165289,0.6174863387978142,0.0788,0.95,0.495096871064613,1.0,0.5,0.792,0.95,0.8990715833283465,0.8807947019867549,0.7823529411764706,0.6479,0.95
rtdetr,plain,3,pretrained,val,0.7522623337064663,0.5373621828343502,0.5718382320851392,0.8449908689306517,0.5718382320851392,0.6086803551020717,0.8024948024948025,0.5112582781456954,0.0788,0.95,0.995,1.0,1.0,0.792,0.95,0.653106646017327,0.7586206896551724,0.5789473684210527,0.6479,0.95
rtdetr,plain,3,scratch,test,0.7027159329910503,0.4568114596924467,0.6313472799475341,0.8270271848819005,0.6313472799475341,0.709190446215312,0.7074235807860262,0.6639344262295082,0.1734,0.95,0.6199999999999999,1.0,0.5,0.6645,0.95,0.7789573527578392,0.6930232558139535,0.8764705882352941,0.7217,0.95
rtdetr,plain,3,scratch,val,0.7269750074220181,0.552345000709767,0.7151550585323032,0.7787266433336636,0.7151550585323032,0.6772551081945387,0.8189964157706093,0.6052980132450331,0.1734,0.95,0.995,1.0,1.0,0.6645,0.95,0.508669914071516,0.46774193548387094,0.7631578947368421,0.7217,0.95
rtdetr,plain,4,pretrained,test,0.9382991847130558,0.7213458823290999,0.8675121552902677,0.906058661152399,0.8675121552902677,0.9381540625563078,0.8517060367454068,0.8866120218579235,0.3812,0.95,0.995,0.6666666666666666,1.0,0.5891000000000001,0.95,0.8817434915828601,0.823170731707317,0.7941176470588235,0.408,0.95
rtdetr,plain,4,pretrained,val,0.9153674658620388,0.5741683333911702,0.8206788346295735,0.9297377022066304,0.8206788346295735,0.9045085708518076,0.8577235772357723,0.83841059602649,0.3812,0.95,0.995,1.0,1.0,0.5891000000000001,0.95,0.8465938267343088,0.8157894736842105,0.8157894736842105,0.408,0.95
rtdetr,plain,4,scratch,test,0.6632726888680843,0.4457058352205357,0.6256597853731405,0.5787052236735732,0.6256597853731405,0.74279328609316,0.8073394495412844,0.7213114754098361,0.1035,0.95,0.4975125628140703,0.5,0.5,0.4288,0.95,0.7495122176970226,0.5398550724637681,0.8764705882352941,0.40249999999999997,0.95
rtdetr,plain,4,scratch,val,0.7761258538553851,0.504247640424084,0.6247056851344132,0.8097373852172262,0.6247056851344132,0.6466082443258778,0.7800687285223368,0.6013245033112583,0.1035,0.95,0.995,1.0,1.0,0.4288,0.95,0.6867693172402776,0.6842105263157895,0.6842105263157895,0.40249999999999997,0.95
rtdetr,clahe,0,pretrained,test,0.5411024584564122,0.4520747395816133,0.5331715170008674,0.4826446438556811,0.5331715170008674,0.7284507365192164,0.8075040783034257,0.6762295081967213,0.199,0.95,0.0033389261744966,0.0,0.0,0.7191000000000001,0.95,0.8915177126755237,0.6842105263157895,0.9176470588235294,0.407,0.95
