image1,image2,score
22cfad94-image_177_crop0.jpg,90f9493b-image_298_crop0.jpg,227
a33f3b32-image_367_crop0.jpg,af0bced3-image_275_crop0.jpg,226
cadd2d3b-image_233_crop0.jpg,5da5f8f9-image_272_crop0.jpg,226
345fbe65-image_54_crop0.jpg,5727fde8-image_208_crop0.jpg,226
c30fdfed-image_251_crop0.jpg,70f51a05-image_310_crop0.jpg,226
18461c8b-image_291_crop0.jpg,d8711843-image_164_crop0.jpg,226
cef6edd2-image_53_crop0.jpg,77c187af-image_217_crop0.jpg,225
4fd2e547-image_88_crop0.jpg,d8711843-image_164_crop0.jpg,225
b2f0616a-image_301_crop0.jpg,946a7ca1-image_150_crop0.jpg,225
c30fdfed-image_251_crop0.jpg,47c8617b-image_277_crop0.jpg,224
50e33794-image_412_crop0.jpg,3b4dcae2-image_269_crop0.jpg,224
2265269d-image_107_crop0.jpg,cedf9fe4-image_262_crop0.jpg,224
bb22bc33-image_339_crop0.jpg,7e042ee2-image_42_crop0.jpg,224
8aae6501-image_129_crop0.jpg,5727fde8-image_208_crop0.jpg,224
03049904-image_64_crop0.jpg,816d3129-image_202_crop0.jpg,224
8c89ee29-image_229_crop0.jpg,1f8c98cc-image_218_crop0.jpg,223
77ddec24-image_413_crop0.jpg,cb523bc8-image_44_crop0.jpg,223
36f27d4b-image_80_crop0.jpg,cb523bc8-image_44_crop0.jpg,223
4b3be29d-image_83_crop0.jpg,77c187af-image_217_crop0.jpg,222
db6d300e-image_94_crop0.jpg,af0bced3-image_275_crop0.jpg,222
547f6c05-image_228_crop0.jpg,cb523bc8-image_44_crop0.jpg,222
7d6fa99a-image_171_crop0.jpg,1e99fac9-image_169_crop0.jpg,222
cfc472fc-image_260_crop0.jpg,35860cc3-image_41_crop0.jpg,222
cfc472fc-image_260_crop0.jpg,4512b486-image_259_crop0.jpg,222
27a7ec4d-image_16_crop0.jpg,77c187af-image_217_crop0.jpg,222
4b9cf1ae-image_234_crop0.jpg,3b4dcae2-image_269_crop0.jpg,221
f159cace-image_338_crop0.jpg,1e99fac9-image_169_crop0.jpg,221
143cf4bb-image_376_crop0.jpg,052d6855-image_75_crop0.jpg,221
5675e90a-image_69_crop0.jpg,d8711843-image_164_crop0.jpg,221
9bf050b3-image_170_crop0.jpg,47c8617b-image_277_crop0.jpg,221
